IMO,VesselName,VesselClass,ReferenceDate,StartDate,EndDate,QuantityKiloBarrels,Area,RunDate,OriginCountry,QuantityKiloTonnes
9292204,Andromeda,Aframax,2015-01-01,2015-01-31 19:53:22.000,2015-03-07 19:51:58.000,590.0,Gulf of Mexico & Caribs,2025-02-19,Aruba,82.43
8918265,BW Pioneer,Aframax,2015-01-01,2014-07-01 11:51:07.000,2016-04-19 15:55:24.000,540.0,Gulf of Mexico & Caribs,2025-02-19,Unknown,76.17
9249104,Elka Vassiliki,Aframax,2015-01-01,2015-01-28 15:54:47.000,2015-03-05 15:58:22.000,525.0,East Coast South America,2025-02-19,Brazil,76.26
8508292,Gunung Kemala,Aframax,2015-01-01,2014-11-07 19:20:33.000,2015-10-21 15:24:18.000,485.0,South East Asia,2025-02-19,Unknown,68.41
9568196,Jag Laxmi,Aframax,2015-01-01,2015-01-05 18:25:25.500,2015-02-06 07:21:46.000,588.0,South East Asia,2025-02-19,Malaysia,75.90
8124058,North Sea Producer,Aframax,2015-01-01,2014-06-24 13:48:20.000,2016-01-19 12:21:57.000,556.0,UK Continent & North Sea,2025-02-19,Unknown,78.43
9211999,Sanar-7,Aframax,2015-01-01,2014-12-16 02:49:33.000,2016-04-04 23:50:22.000,632.0,Black Sea & Sea Of Marmara,2025-02-19,Turkey,86.33
9165530,Symeon 3,Aframax,2015-01-01,2015-01-22 19:56:58.000,2015-03-07 11:49:56.000,594.0,Gulf of Mexico & Caribs,2025-02-19,Venezuela,86.06
9042427,Mtc Ledang,MR2,2015-01-01,2014-06-02 02:13:00.000,2016-05-03 19:16:00.000,297.0,South East Asia,2025-02-19,Unknown,41.89
8913954,Andhika Larasati,Suezmax,2015-01-01,2014-11-18 23:55:25.000,2015-02-03 15:51:29.000,939.0,Singapore / Malaysia,2025-02-19,Unknown,132.45
9002207,Med,Suezmax,2015-01-01,2014-08-20 11:56:26.000,2015-05-24 18:50:35.967,957.0,China & Taiwan,2025-02-19,Unknown,134.99
9224453,Tracos,Suezmax,2015-01-01,2015-01-18 14:18:58.000,2015-03-21 10:04:00.000,998.0,Black Sea & Sea Of Marmara,2025-02-19,Russia,137.75
9311610,Umnenga II,Suezmax,2015-01-01,2015-01-05 00:49:22.000,2015-03-19 01:47:35.000,1021.0,Gulf of Mexico & Caribs,2025-02-19,Mexico,147.44
9445473,Atherina,VLCC,2015-01-01,2015-01-29 11:11:00.000,2015-04-29 14:36:00.000,2061.0,Arabian Gulf & Rea Sea,2025-02-19,Iraq,289.95
9289491,Belma,VLCC,2015-01-01,2015-01-30 19:54:22.000,2015-03-04 03:59:37.000,1936.0,China & Taiwan,2025-02-19,Unknown,273.09
9534028,Cobalt Nova,VLCC,2015-01-01,2014-04-11 16:38:02.000,2015-07-24 16:38:02.000,2057.0,Singapore / Malaysia,2025-02-19,Saudi Arabia,279.41
9357729,Dan,VLCC,2015-01-01,2014-11-08 00:00:42.000,2016-03-05 01:24:42.000,2065.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.90
9569700,Derya,VLCC,2015-01-01,2015-01-29 15:58:23.000,2015-10-18 05:00:20.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.21
9177155,Destiny,VLCC,2015-01-01,2015-01-22 10:00:00.000,2016-10-28 00:00:00.000,1814.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,250.27
9218454,Devon,VLCC,2015-01-01,2014-10-23 11:44:00.000,2016-10-27 00:00:00.000,1933.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.69
9218478,Diamond II,VLCC,2015-01-01,2014-07-09 15:50:36.000,2015-11-09 19:13:28.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,227.00
9218466,Dover,VLCC,2015-01-01,2014-11-11 08:38:34.800,2017-02-05 00:00:00.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,264.35
9387578,Eliza,VLCC,2015-01-01,2015-01-28 03:56:20.000,2015-03-31 01:50:36.000,2046.0,Singapore / Malaysia,2025-02-19,Nigeria,275.15
9158903,Elle,VLCC,2015-01-01,2014-05-07 16:27:18.000,2015-08-22 16:27:18.000,1943.0,East Coast South America,2025-02-19,Brazil,282.25
9235268,Europe,VLCC,2015-01-01,2014-12-28 03:56:53.000,2015-03-15 17:49:57.000,2849.0,Singapore / Malaysia,2025-02-19,Malaysia,367.77
9005235,Falcon,VLCC,2015-01-01,2015-01-23 07:09:50.000,2016-07-29 15:52:59.000,1930.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.66
9050589,Faridah,VLCC,2015-01-01,2014-12-31 16:21:21.000,2015-09-17 16:21:21.000,1948.0,Arabian Gulf & Rea Sea,2025-02-19,Saudi Arabia,266.10
9079066,Naroon,VLCC,2015-01-01,2015-01-04 12:41:00.000,2015-06-27 12:42:20.000,1928.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.00
9183350,Northern S,VLCC,2015-01-01,2014-12-31 10:00:00.000,2015-09-16 16:51:48.000,1814.0,Singapore / Malaysia,2025-02-19,Malaysia,234.16
9569645,Serena,VLCC,2015-01-01,2014-12-16 09:49:25.000,2016-01-12 15:14:32.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.76
8616518,Star Olba,VLCC,2015-01-01,2013-12-31 10:00:00.000,2015-11-18 21:15:12.000,1781.0,Singapore / Malaysia,2025-02-19,Unknown,251.22
9569621,Starla,VLCC,2015-01-01,2014-12-28 10:59:29.000,2015-06-08 10:59:29.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,282.70
9292204,Andromeda,Aframax,2015-02-01,2015-01-31 19:53:22.000,2015-03-07 19:51:58.000,590.0,Gulf of Mexico & Caribs,2025-02-19,Aruba,82.43
8918265,BW Pioneer,Aframax,2015-02-01,2014-07-01 11:51:07.000,2016-04-19 15:55:24.000,540.0,Gulf of Mexico & Caribs,2025-02-19,Unknown,76.17
9249104,Elka Vassiliki,Aframax,2015-02-01,2015-01-28 15:54:47.000,2015-03-05 15:58:22.000,525.0,East Coast South America,2025-02-19,Brazil,76.26
8508292,Gunung Kemala,Aframax,2015-02-01,2014-11-07 19:20:33.000,2015-10-21 15:24:18.000,485.0,South East Asia,2025-02-19,Unknown,68.41
9321976,Heidi A,Aframax,2015-02-01,2015-02-28 08:57:50.000,2015-04-03 13:51:22.000,588.0,East Coast South America,2025-02-19,Equatorial Guinea,73.91
9077331,M Spirit,Aframax,2015-02-01,2015-02-18 23:06:39.400,2015-05-01 04:58:17.600,532.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,69.46
9309435,Minerva Alice,Aframax,2015-02-01,2015-02-14 15:52:39.000,2015-03-18 23:59:49.000,640.0,Mediterranean,2025-02-19,United States,83.57
9341067,NS Captain,Aframax,2015-02-01,2015-02-04 03:46:55.000,2015-03-11 04:03:00.000,614.0,Gulf of Mexico & Caribs,2025-02-19,Venezuela,88.96
8124058,North Sea Producer,Aframax,2015-02-01,2014-06-24 13:48:20.000,2016-01-19 12:21:57.000,556.0,UK Continent & North Sea,2025-02-19,Unknown,78.43
9211999,Sanar-7,Aframax,2015-02-01,2014-12-16 02:49:33.000,2016-04-04 23:50:22.000,632.0,Black Sea & Sea Of Marmara,2025-02-19,Turkey,86.33
9165530,Symeon 3,Aframax,2015-02-01,2015-01-22 19:56:58.000,2015-03-07 11:49:56.000,594.0,Gulf of Mexico & Caribs,2025-02-19,Venezuela,86.06
9042427,Mtc Ledang,MR2,2015-02-01,2014-06-02 02:13:00.000,2016-05-03 19:16:00.000,297.0,South East Asia,2025-02-19,Unknown,41.89
9286023,Next,Panamax,2015-02-01,2015-02-13 19:51:24.000,2015-03-21 13:56:16.000,423.0,West Coast South - Central America,2025-02-19,Venezuela,67.21
9289178,Xanthos,Panamax,2015-02-01,2015-02-17 15:45:47.000,2015-03-19 21:50:47.000,358.0,West Coast South - Central America,2025-02-19,Venezuela,56.88
9002207,Med,Suezmax,2015-02-01,2014-08-20 11:56:26.000,2015-05-24 18:50:35.967,957.0,China & Taiwan,2025-02-19,Unknown,134.99
9586734,Rio Orinoco,Suezmax,2015-02-01,2015-02-10 23:50:25.000,2015-03-13 14:14:22.000,994.0,Gulf of Mexico & Caribs,2025-02-19,Venezuela,155.19
9224453,Tracos,Suezmax,2015-02-01,2015-01-18 14:18:58.000,2015-03-21 10:04:00.000,998.0,Black Sea & Sea Of Marmara,2025-02-19,Russia,137.75
9311610,Umnenga II,Suezmax,2015-02-01,2015-01-05 00:49:22.000,2015-03-19 01:47:35.000,1021.0,Gulf of Mexico & Caribs,2025-02-19,Mexico,147.44
9530905,Alsace,VLCC,2015-02-01,2015-02-03 15:50:48.000,2015-03-18 18:50:55.000,2067.0,UK Continent & North Sea,2025-02-19,United Kingdom,271.89
9445473,Atherina,VLCC,2015-02-01,2015-01-29 11:11:00.000,2015-04-29 14:36:00.000,2061.0,Arabian Gulf & Rea Sea,2025-02-19,Iraq,289.95
9289491,Belma,VLCC,2015-02-01,2015-01-30 19:54:22.000,2015-03-04 03:59:37.000,1936.0,China & Taiwan,2025-02-19,Unknown,273.09
9534028,Cobalt Nova,VLCC,2015-02-01,2014-04-11 16:38:02.000,2015-07-24 16:38:02.000,2057.0,Singapore / Malaysia,2025-02-19,Saudi Arabia,279.41
9357729,Dan,VLCC,2015-02-01,2014-11-08 00:00:42.000,2016-03-05 01:24:42.000,2065.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.90
9569700,Derya,VLCC,2015-02-01,2015-01-29 15:58:23.000,2015-10-18 05:00:20.000,2060.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,284.21
9177155,Destiny,VLCC,2015-02-01,2015-01-22 10:00:00.000,2016-10-28 00:00:00.000,1814.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,250.27
9218454,Devon,VLCC,2015-02-01,2014-10-23 11:44:00.000,2016-10-27 00:00:00.000,1933.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.69
9218478,Diamond II,VLCC,2015-02-01,2014-07-09 15:50:36.000,2015-11-09 19:13:28.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,227.00
9218466,Dover,VLCC,2015-02-01,2014-11-11 08:38:34.800,2017-02-05 00:00:00.000,1916.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,264.35
9387578,Eliza,VLCC,2015-02-01,2015-01-28 03:56:20.000,2015-03-31 01:50:36.000,2046.0,Singapore / Malaysia,2025-02-19,Nigeria,275.15
9158903,Elle,VLCC,2015-02-01,2014-05-07 16:27:18.000,2015-08-22 16:27:18.000,1943.0,East Coast South America,2025-02-19,Brazil,282.25
9235268,Europe,VLCC,2015-02-01,2014-12-28 03:56:53.000,2015-03-15 17:49:57.000,2849.0,Singapore / Malaysia,2025-02-19,Malaysia,367.77
9005235,Falcon,VLCC,2015-02-01,2015-01-23 07:09:50.000,2016-07-29 15:52:59.000,1930.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.66
9050589,Faridah,VLCC,2015-02-01,2014-12-31 16:21:21.000,2015-09-17 16:21:21.000,1948.0,Arabian Gulf & Rea Sea,2025-02-19,Saudi Arabia,266.10
9212929,Henna,VLCC,2015-02-01,2015-02-04 03:40:39.000,2016-10-28 00:00:00.000,1931.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,228.78
9315367,Minerva V,VLCC,2015-02-01,2015-02-15 15:30:43.000,2015-04-19 15:30:43.000,2056.0,West Coast North America,2025-02-19,Ecuador,307.35
9079066,Naroon,VLCC,2015-02-01,2015-01-04 12:41:00.000,2015-06-27 12:42:20.000,1928.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,266.00
9310147,Natalina 7,VLCC,2015-02-01,2015-02-24 10:40:45.000,2015-08-09 10:40:45.000,1929.0,Singapore / Malaysia,2025-02-19,Nigeria,259.41
9183350,Northern S,VLCC,2015-02-01,2014-12-31 10:00:00.000,2015-09-16 16:51:48.000,1814.0,Singapore / Malaysia,2025-02-19,Malaysia,234.16
9569645,Serena,VLCC,2015-02-01,2014-12-16 09:49:25.000,2016-01-12 15:14:32.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,242.76
8616518,Star Olba,VLCC,2015-02-01,2013-12-31 10:00:00.000,2015-11-18 21:15:12.000,1781.0,Singapore / Malaysia,2025-02-19,Unknown,251.22
9569621,Starla,VLCC,2015-02-01,2014-12-28 10:59:29.000,2015-06-08 10:59:29.000,2049.0,Arabian Gulf & Rea Sea,2025-02-19,Iran,282.70
8918265,BW Pioneer,Aframax,2015-03-01,2014-07-01 11:51:07.000,2016-04-19 15:55:24.000,540.0,Gulf of Mexico & Caribs,2025-02-19,Unknown,76.17
8508292,Gunung Kemala,Aframax,2015-03-01,2014-11-07 19:20:33.000,2015-10-21 15:24:18.000,485.0,South East Asia,2025-02-19,Unknown,68.41
9321976,Heidi A,Aframax,2015-03-01,2015-02-28 08:57:50.000,2015-04-03 13:51:22.000,588.0,East Coast South America,2025-02-19,Equatorial Guinea,73.91
9077331,M Spirit,Aframax,2015-03-01,2015-02-18 23:06:39.400,2015-05-01 04:58:17.600,532.0,Arabian Gulf & Rea Sea,2025-02-19,United Arab Emirates,69.46
9592305,Nissos Delos,Aframax,2015-03-01,2015-03-27 07:52:27.000,2015-04-28 19:53:34.000,645.0,Mediterranean,2025-02-19,Kazakhstan,81.86
8124058,North Sea Producer,Aframax,2015-03-01,2014-06-24 13:48:20.000,2016-01-19 12:21:57.000,556.0,UK Continent & North Sea,2025-02-19,Unknown,78.43
9038830,Proteo,Aframax,2015-03-01,2015-03-16 03:53:22.000,2015-04-16 19:57:08.000,554.0,Gulf of Mexico & Caribs,2025-02-19,Venezuela,80.27
